sequence	uuid	sample_barcode	sample_name	plate_name	plate_well_position	germplasm_name	number_of_plants	germplasm_pedigree	germplasm_type	germplasm_par1	germplasm_par1_type	germplasm_par2	germplasm_par2_type	dnasample_sample_group	dnasample_sample_group_cycle	Submergence	Submergence.1	Drought
99	07f2fbb9-d90f-49e9-a139-c4ce8e1cb319	10566237419457151165598146213866943257	XBL-167-99	Plate-44402	E01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
100	1368b1bf-878b-4a44-84f5-4ae6868a2da8	25798935954228777962580018029323234728	XBL-167-100	Plate-44402	F01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
101	cff3dfac-505a-4ff8-ba5d-50157ca0b76e	276416459893555097345438155235378902894	XBL-167-101	Plate-44402	G01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
102	317d0df7-8605-45bd-9495-ad64ff34a281	65781492182936085006446669544564236929	XBL-167-102	Plate-44402	H01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
103	3530893d-3003-45ff-9861-7bbc84ad4958	70701097563703064446114569402152995160	XBL-167-103	Plate-44402	A02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
104	a7281823-bf82-4e5d-8cbb-45aa30638206	222189256780507686822119437617728815622	XBL-167-104	Plate-44402	B02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
105	53c65144-6287-41d6-b581-74aeed01d0d0	111355646721323906939387593426703864016	XBL-167-105	Plate-44402	C02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
106	8ef687e0-0d9a-4c17-8cfb-8d2cce246c5a	190030436305272356757862777672289250394	XBL-167-106	Plate-44402	D02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
107	91c16bf6-37f6-44f0-8712-0c3c7091f605	193742362407784989390792265481323673093	XBL-167-107	Plate-44402	E02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
108	c7abe084-f2f4-41e3-b393-0a9f2dc81f48	265408807717067045520327311642356883272	XBL-167-108	Plate-44402	F02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
109	1d44672f-1fa6-47f2-87a7-82638964eb6d	38902780885850799637853011998205602669	XBL-167-109	Plate-44402	G02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
110	823f4891-a596-4cb9-a4e7-7b89cbed0c6a	173128226026948512924538898789851532394	XBL-167-110	Plate-44402	H02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
111	85ddae47-3de1-4872-aa2d-ae9f2c21af89	177938355828751517939626895802315681673	XBL-167-111	Plate-44402	A03	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
112	378757e0-6f07-4f77-a801-2ce84d3aa536	73810282195178169475226812840240915766	XBL-167-112	Plate-44402	B03	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
113	50f6237f-05e0-4851-ab42-397586345d5c	107616264638124170498572707422853684572	XBL-167-113	Plate-44402	C03	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
114	acd0a5fc-1a46-4d90-9e7d-5a6cf9aaad6f	229710579592793931759120889534338477423	XBL-167-114	Plate-44402	D03	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
115	73114aec-aff8-4ce7-9155-2b95e4f9fc06	152951008212477494537140593156221959174	XBL-167-115	Plate-44402	E03	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
